station,event_id,model,horizon_hours,severe_hours,event_MAE,event_mean_residual,prediction_at_peak,residual_at_peak,abs_error_at_peak,underpredicted_peak,predicted_severe_at_first_severe_hour,predicted_severe_hours
Aotizhongxin,21,B0,24,7,21.857143,21.857143,322.0,41.0,41.0,true,false,6
Aotizhongxin,22,B3_R2,1,21,25.738929,12.018279,508.975739,21.024261,21.024261,true,false,20
Aotizhongxin,22,B3_R2,6,21,148.902072,142.768675,288.406891,241.593109,241.593109,true,false,16
Aotizhongxin,22,B3_R2,12,21,216.645496,216.645496,201.001755,328.998245,328.998245,true,false,0
Aotizhongxin,22,B3_R2,24,21,267.335015,267.335015,171.488785,358.511215,358.511215,true,false,0
Aotizhongxin,22,GRU_R1,1,21,85.352871,82.569901,354.782379,175.217621,175.217621,true,false,20
Aotizhongxin,22,GRU_R1,6,21,147.599179,135.62309,299.169708,230.830292,230.830292,true,false,14
Aotizhongxin,22,GRU_R1,12,21,214.785196,205.902366,164.554138,365.445862,365.445862,true,false,7
Aotizhongxin,22,GRU_R1,24,21,268.256973,268.256973,140.967041,389.032959,389.032959,true,false,0
Aotizhongxin,22,B0,1,21,28.428571,1.857143,518.0,12.0,12.0,true,false,20
Aotizhongxin,22,B0,6,21,163.666667,54.333333,358.0,172.0,172.0,true,false,15
Aotizhongxin,22,B0,12,21,240.047619,171.380952,154.0,376.0,376.0,true,false,9
Aotizhongxin,22,B0,24,21,277.714286,277.714286,142.0,388.0,388.0,true,false,0
Aotizhongxin,23,B3_R2,1,2,19.497437,4.476715,245.025848,23.974152,23.974152,true,true,2
Aotizhongxin,23,B3_R2,6,2,121.356174,121.356174,108.310143,160.689857,160.689857,true,false,0
Aotizhongxin,23,B3_R2,12,2,21.204163,21.204163,241.946976,27.053024,27.053024,true,false,1
Aotizhongxin,23,B3_R2,24,2,124.866478,124.866478,136.281128,132.718872,132.718872,true,false,0
