model,station,horizon_hours,lag_hours,acf,n_pairs
GRU_R1,Aotizhongxin,24,72,0.066589,8333
GRU_R1,Aotizhongxin,24,168,0.010193,8242
GRU_R1,Changping,1,1,0.509703,8568
GRU_R1,Changping,1,2,0.40703,8553
GRU_R1,Changping,1,3,0.372919,8549
GRU_R1,Changping,1,6,0.293105,8541
GRU_R1,Changping,1,12,0.180999,8528
GRU_R1,Changping,1,24,0.148282,8513
GRU_R1,Changping,1,48,0.119344,8486
GRU_R1,Changping,1,72,0.056989,8461
GRU_R1,Changping,1,168,0.04328,8369
GRU_R1,Changping,6,1,0.853068,8568
GRU_R1,Changping,6,2,0.658064,8553
GRU_R1,Changping,6,3,0.473613,8549
GRU_R1,Changping,6,6,0.010184,8541
GRU_R1,Changping,6,12,0.00653,8528
GRU_R1,Changping,6,24,0.070076,8513
GRU_R1,Changping,6,48,0.101019,8486
GRU_R1,Changping,6,72,0.059362,8461
GRU_R1,Changping,6,168,0.052193,8369
GRU_R1,Changping,12,1,0.912892,8568
GRU_R1,Changping,12,2,0.798879,8553
GRU_R1,Changping,12,3,0.687241,8549
GRU_R1,Changping,12,6,0.395928,8541
GRU_R1,Changping,12,12,-0.09907,8528
GRU_R1,Changping,12,24,0.008393,8513
GRU_R1,Changping,12,48,0.070795,8486
GRU_R1,Changping,12,72,0.058825,8461
GRU_R1,Changping,12,168,0.035728,8369
GRU_R1,Changping,24,1,0.942926,8568
GRU_R1,Changping,24,2,0.873617,8553
GRU_R1,Changping,24,3,0.808698,8549
GRU_R1,Changping,24,6,0.629519,8541
GRU_R1,Changping,24,12,0.330529,8528
GRU_R1,Changping,24,24,-0.222366,8513
GRU_R1,Changping,24,48,-0.057495,8486
GRU_R1,Changping,24,72,0.034923,8461
GRU_R1,Changping,24,168,-0.012578,8369
GRU_R1,Dingling,1,1,0.452723,8396
GRU_R1,Dingling,1,2,0.360281,8372
GRU_R1,Dingling,1,3,0.334254,8360
GRU_R1,Dingling,1,6,0.230831,8338
GRU_R1,Dingling,1,12,0.148735,8310
GRU_R1,Dingling,1,24,0.112935,8271
GRU_R1,Dingling,1,48,0.111581,8222
GRU_R1,Dingling,1,72,0.015678,8172
GRU_R1,Dingling,1,168,0.03793,8032
GRU_R1,Dingling,6,1,0.847717,8396
GRU_R1,Dingling,6,2,0.661149,8372
GRU_R1,Dingling,6,3,0.481728,8360
GRU_R1,Dingling,6,6,0.021989,8338
GRU_R1,Dingling,6,12,-0.040579,8310
GRU_R1,Dingling,6,24,0.058197,8271
GRU_R1,Dingling,6,48,0.10123,8222
GRU_R1,Dingling,6,72,0.027969,8172
GRU_R1,Dingling,6,168,0.055266,8032
GRU_R1,Dingling,12,1,0.914196,8396
GRU_R1,Dingling,12,2,0.808491,8372
GRU_R1,Dingling,12,3,0.706091,8360
GRU_R1,Dingling,12,6,0.402308,8338
GRU_R1,Dingling,12,12,-0.132728,8310
GRU_R1,Dingling,12,24,0.017619,8271
GRU_R1,Dingling,12,48,0.08588,8222
GRU_R1,Dingling,12,72,0.039946,8172
GRU_R1,Dingling,12,168,0.045732,8032
GRU_R1,Dingling,24,1,0.945679,8396
GRU_R1,Dingling,24,2,0.882888,8372
GRU_R1,Dingling,24,3,0.823429,8360
GRU_R1,Dingling,24,6,0.652422,8338
GRU_R1,Dingling,24,12,0.33842,8310
GRU_R1,Dingling,24,24,-0.235036,8271
GRU_R1,Dingling,24,48,-0.080371,8222
GRU_R1,Dingling,24,72,0.00655,8172
GRU_R1,Dingling,24,168,-0.024697,8032
GRU_R1,Dongsi,1,1,0.62181,8292
GRU_R1,Dongsi,1,2,0.480851,8256
GRU_R1,Dongsi,1,3,0.431256,8245
GRU_R1,Dongsi,1,6,0.300454,8207
GRU_R1,Dongsi,1,12,0.17618,8148
GRU_R1,Dongsi,1,24,0.159103,8073
GRU_R1,Dongsi,1,48,0.097124,7982
GRU_R1,Dongsi,1,72,0.082963,7962
GRU_R1,Dongsi,1,168,0.000219,7859
GRU_R1,Dongsi,6,1,0.87322,8292
GRU_R1,Dongsi,6,2,0.686068,8256
GRU_R1,Dongsi,6,3,0.500718,8245
GRU_R1,Dongsi,6,6,-0.012483,8207
GRU_R1,Dongsi,6,12,-0.014782,8148
GRU_R1,Dongsi,6,24,0.092408,8073
GRU_R1,Dongsi,6,48,0.095639,7982
GRU_R1,Dongsi,6,72,0.070091,7962
GRU_R1,Dongsi,6,168,0.032949,7859
GRU_R1,Dongsi,12,1,0.92343,8292
